Condors that may appear in photos	Sex	Hatch date	Rearing method	Hatch Location	For captive hatched birds, date first released to wild	Death date	Age at death	Cause of death	Father	Mother	How often Pb poisoned?	Breeder since	Chicks produced for condor program	Mate1999	Mate2000	Mate2001	Mate2002	Mate2003	Mate2004	Mate2005	Mate2006	Mate2007	Mate2008	Mate2009	Mate2010	Mate2011	Mate2012	In Condor Tag table
568	Male	4/28/2010	Foster parents	Captive at LA zoo	10/18/2011	#ERROR!			137	147	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
569	Female	4/28/2010	Foster parents	Captive at LA zoo	1/5/2012	#ERROR!			48	97	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
570	Male	5/2/2010	Foster parents	Captive at LA zoo	11/9/2011	#ERROR!			50	57	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
574	Male	5/8/2010	Biological parents	Wild in California		#ERROR!			219	310	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
576	Female	5/10/2010	Biological parents	Captive at Birds of Prey	11/9/2011	#ERROR!			92	94	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
583	Female	5/17/2010	Biological parents	Captive at Birds of Prey	1/12/2012	#ERROR!			99	88	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
584	Female	5/21/2010	Biological parents	Captive at Birds of Prey	12/8/2011	#ERROR!			71	56	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
585	Male	5/22/2010	Biological parents	Captive at Birds of Prey	12/8/2011	#ERROR!			62	93	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
587	Female	5/27/2010	Biological parents	Wild in California		#ERROR!	0.1	unknown causes	206	255	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
588	Male	5/27/2010	Biological parents	Captive at Birds of Prey	9/24/2011	#ERROR!	2.2	unknown causes	85	77	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
589	Male	6/13/2010	Biological parents	Captive at Birds of Prey	9/26/2011	#ERROR!			83	96	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
590	Male	3/14/2011	Biological parents	Captive at San Diego Wild Animal Park	10/3/2012	#ERROR!			28	54	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
591	Male	3/16/2011	Biological parents	Captive at San Diego Wild Animal Park	10/25/2012	#ERROR!	#ERROR!	trauma (hit by car?)	25	45	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
594	Female	3/29/2011	Zookeepers	Captive at San Diego Wild Animal Park	11/15/2012	#ERROR!			20	157	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
595	Female	3/24/2011	Foster parents	Wild in California		#ERROR!			73	37	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
596	Female	4/1/2011	Zookeepers	Captive at San Diego Wild Animal Park	10/3/2012	#ERROR!			120	95	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
597	Female	4/5/2011	Foster parents	Captive at San Diego Wild Animal Park	#N/A	#ERROR!			313	375	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
598	Female	4/7/2011	Biological parents	Wild in California		#ERROR!	1.7	lead poisoning	60	166	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
599	Female	4/8/2011	Biological parents	Captive at LA zoo	4/9/2011	#ERROR!			219	317	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
602	Male	4/10/2011	Biological parents	Captive at LA zoo	1/29/2013	#ERROR!			145	174	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
603	Female	4/9/2011	Foster parents	Wild in California		#ERROR!			348	155	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
604	Female	4/18/2011	Zookeepers	Captive at San Diego Wild Animal Park	10/25/2012	#ERROR!			27	139	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
606	Male	4/22/2011	Foster parents	Captive at LA zoo	1/29/2013	#ERROR!			168	208	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
615	Male	4/23/2011	Foster parents	Captive at Portland zoo	11/30/2012	#ERROR!			50	57	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
616	Female	4/21/2011	Biological parents	Wild in California		#ERROR!			107	161	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
617	Unknown	4/23/2011	Biological parents	Wild in California		#ERROR!	#ERROR!	unknown causes, possibly aggression from foster parent	99	88	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
621	Unknown	4/28/2011	Biological parents	Wild in California		#ERROR!	0.0	unknown causes	47	51	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
624	Unknown	5/22/2011	Foster parents	Wild in California		#ERROR!	0.0	unknown causes	90	121	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
625	Male	5/21/2011	Biological parents	Captive at Birds of Prey	11/15/2012	#ERROR!			62	93	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
626	Female	5/30/2011	Foster parents	Captive at Portland zoo	#N/A	#ERROR!			85	77	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
627	Male	5/28/2011	Biological parents	Wild in California		#ERROR!			125	111	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
629	Unknown	6/6/2011	Biological parents	Wild in California		#ERROR!	0.3	euthanized due to multiple fractures from a fall and possibly underlying disease	309	69	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
630	Female	6/8/2011	Foster parents	Wild in California		#ERROR!	#ERROR!	drowned in dip tank	67	30	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
631	Male	6/21/2011	Zookeepers	Captive at LA zoo	#N/A	#ERROR!			328	216	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
644	Unknown	4/12/2012	Foster parents	Wild in California		#ERROR!	0.6	trauma, possibly followed by drowning or hypothermia, due to severe storm	60	166	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
646	Unknown	4/20/2012	Biological parents	Wild in California		#ERROR!			167	190	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
648	Female	4/23/2012	Foster parents	Wild in California		#ERROR!			4	23	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
650	Male	4/25/2012	Foster parents	Captive at LA zoo	#N/A	#ERROR!			120	95	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
652	Male	5/1/2012	Biological parents	Captive at LA zoo	#N/A	#ERROR!			1	68	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
654	Female	4/25/2012	Foster parents	Wild in California		#ERROR!			61	70	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
658	Male	4/27/2012	Biological parents	Wild in California		#ERROR!			206	370	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
663	Unknown	3/30/2012	Biological parents	Wild in California		#ERROR!			209	236	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
664	Unknown	5/8/2012	Biological parents	Wild in California		#ERROR!			251	306	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
665	Unknown	5/17/2012	Foster parents	Wild in California		#ERROR!			62	93	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
670	Female	5/5/2012	Biological parents	Wild in California		#ERROR!	#ERROR!	unknown causes, no carcass recovered	239	289	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
671	Unknown	5/28/2012	Biological parents	Wild in California		#ERROR!	0.2	fell from the nest	328	216	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
672	Male	6/23/2012	Biological parents	Wild in California		#ERROR!	0.3	unknown causes	125	111	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
