					Tag Details							
Studbook	Year	Vinyl Tag ID	Tag Color	Shapes/Patterns on tag	L-tag color	R- tag color	L-wing transmitter	R-wing transmitter	Data source	Other Notes	Bio data compiled?	
452	2011	52	White	None	No tag	White	None	None	Socal		Yes	
452	2012	52	White	None	No tag	White	None	None	Socal		Yes	
452	2013	52	White	None	No tag	White	None	None	Socal		Yes	
457	2008	57	Black	4 dots	Black	No tag	VHF	None	Socal		Yes	
457	2009	57	White	None	White	No tag	VHF	None	Socal		Yes	
457	2010	57	White	None	No tag	White	None	None	Socal		Yes	
457	2011	57	White	None	White	No tag	None	None	Socal		Yes	
457	2012	57	White	None	White	No tag	None	None	Socal		Yes	
457	2013	57	White	None	White	No tag	None	None	Socal		Yes	
458	2008	58	Black	4 dots	Black	No tag	VHF	None	Socal		Yes	
458	2009	58	White	None	No tag	White	None	VHF	Socal		Yes	
458	2010	58	White	None	No tag	White	None	None	Socal		Yes	
460	all	60	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
462	2008	62	Black	4 dots	Black	No tag	VHF	None	Socal		Yes	
462	2009	62	White	None	White	No tag	GPS	None	Socal		Yes	
462	2010	62	White	None	White	No tag	None	None	Socal		Yes	
462	2011	62	White	None	White	No tag	None	None	Socal		Yes	
462	2012	62	White	None	White	No tag	None	None	Socal		Yes	
462	2013	62	White	None	White	No tag	None	None	Socal		Yes	
463	all	63	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
467	2009	67	White	None	White	No tag	GPS	None	Socal		Yes	
467	2010	67	White	None	White	No tag	None	None	Socal		Yes	
467	2011	67	White	None	White	No tag	None	None	Socal		Yes	
467	2012	67	White	None	White	No tag	None	None	Socal		Yes	
467	2013	67	White	None	No tag	White	None	None	Socal		Yes	
470	all	70	White	None	No tag	White	NA	NA	VWS		Yes	
474	2008	"2 ""huya"""	Black	"2 ""huya"""	Black	No tag	VHF	None	Socal		Yes	
474	2008	"2 ""huya"""	Black	"2 ""huya"""	Black	No tag	VHF	None	Socal		Yes	
475	all	75	White	NA	NA	NA	NA	NA	VWS		Yes	
477	all	77	White	None	No tag	White	NA	NA	VWS		Yes	
478	any	78	Black	underline			NA	NA	PNP		Yes	
478	any	78	White	None			NA	NA	PNP		Yes	
480	2009	80	White	None	No tag	White	None	VHF	Socal		Yes	
480	2010	80	White	None	White	No tag	None	None	Socal		Yes	
480	2011	80	White	None	White	No tag	None	None	Socal		Yes	
480	2012	80	White	None	White	No tag	None	None	Socal		Yes	
480	2013	80	White	None	White	No tag	None	None	Socal		Yes	
481	all	81	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
482	2009	82	Black	None	Black	No tag	None	None	Socal		Yes	
482	2010	82	White	None	No tag	White	None	GPS	Socal		Yes	
482	2011	82	White	None	No tag	White	None	GPS	Socal		Yes	
482	2012	82	White	None	No tag	White	None	GPS	Socal		Yes	
482	2013	82	White	None	No tag	White	None	GPS	Socal		Yes	
483	2010	83	White	None	No tag	White	None	None	Socal		Yes	
483	2011	83	White	None	No tag	White	None	None	Socal		Yes	
483	2012	83	White	None	No tag	White	None	None	Socal		Yes	
483	2013	83	White	None	No tag	White	None	None	Socal		Yes	
483	2009	3 FW	White	None	No tag	White	None	GPS	Socal		Yes	
487	2009	87	White	None	No tag	White	None	VHF	Socal		Yes	
487	2010	87	White	None	No tag	White	None	None	Socal		Yes	
487	2011	87	White	None	No tag	White	None	None	Socal		Yes	
487	2012	87	White	None	No tag	White	None	None	Socal		Yes	
487	2013	87	White	None	No tag	White	None	None	Socal		Yes	
489	2008	4	Black	4	Black	No tag	VHF	None	Socal		Yes	
489	2009	89	White	None	White	No tag	GPS	None	Socal		Yes	
489	2010	89	White	None	No tag	White	None	GPS	Socal		Yes	
489	2011	89	White	None	No tag	White	None	GPS	Socal		Yes	
489	2012	89	White	None	No tag	White	None	GPS	Socal		Yes	
489	2013	89	White	None	No tag	White	None	GPS	Socal		Yes	
493	2008	5	Black	5	Black	No tag	VHF	None	Socal		Yes	
493	2009	93	White	None	No tag	White	None	GPS	Socal		Yes	
493	2010	93	White	None	No tag	White	None	VHF	Socal		Yes	
493	2011	93	White	None	White	No tag	None	None	Socal		Yes	
493	2012	93	White	None	White	No tag	None	None	Socal		Yes	
493	2013	93	White	None	White	No tag	None	None	Socal		Yes	
499	All	99	White	None	NA	NA	NA	NA	VWS		Yes	
501	all	1	Black	None	No tag	Black	NA	NA	VWS		Yes	
507	2010	7	Black	None	Black	Black	None	None	Socal		Yes	
507	2011	7	Black	None	No tag	Black	None	GPS	Socal		Yes	
507	2012	7	Black	None	No tag	Black	None	GPS	Socal		Yes	
507	2013	7	Black	None	No tag	Black	None	GPS	Socal		Yes	
509	2009	9	Black	None	Black	No tag	VHF	None	Socal		Yes	
509	2010	9	Black	None	Black	No tag	GPS	None	Socal		Yes	
509	2011	9	Black	None	Black	No tag	GPS	None	Socal		Yes	
509	2012	9	Black	None	Black	No tag	None	None	Socal		Yes	
509	2013	9	Black	None	Black	No tag	None	None	Socal		Yes	
511	2010	11	Black	None	Black	No tag	None	GPS	Socal		Yes	
512	2011	12	Black	None	No tag	Black	None	None	Socal		Yes	
512	2012	12	Black	None	No tag	Black	None	None	Socal		Yes	
513	2010	13	Black	None	No tag	Black	None	None	Socal		Yes	
513	2011	13	Black	None	No tag	Black	None	GPS	Socal		Yes	
513	2012	13	Black	None	No tag	Black	None	GPS	Socal		Yes	
513	2013	13	Black	None	No tag	Black	None	GPS	Socal		Yes	
514	any	14	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
514	any	14	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
514	any	A4	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
518	2010	18	Black	None	Black	Black	None	None	Socal		Yes	
518	2011	18	Black	None	Black	Black	None	None	Socal		Yes	
518	2012	18	Black	None	Black	No tag	None	None	Socal		Yes	
518	2013	18	Black	None	Black	No tag	None	None	Socal		Yes	
525	all	25	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
526	2009	26	Black	None	Black	No tag	VHF	None	Socal		Yes	
526	2010	26	Black	None	No tag	Black	None	GPS	Socal		Yes	
526	2011	26	Black	None	No tag	Black	None	GPS	Socal		Yes	
526	2012	26	Black	None	No tag	Black	None	GPS	Socal		Yes	
526	2013	26	Black	None	No tag	Black	None	GPS	Socal		Yes	
532	2010	32	Black	None	Black	Black	None	None	Socal		Yes	
534	all	34	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
536	2010	36	Black	None	Black	No tag	None	None	Socal		Yes	
536	2011	36	Black	None	Black	No tag	None	None	Socal		Yes	
536	2012	36	Black	None	Black	No tag	None	None	Socal		Yes	
536	2013	36	Black	None	Black	No tag	None	None	Socal		Yes	
538	all	38	Black	None	No tag	Black	NA	NA	VWS		Yes	
542	2010	42	Black	None	Black	No tag	None	None	Socal		Yes	
542	2011	42	Black	None	Black	No tag	None	None	Socal		Yes	
542	2012	42	Black	None	Black	No tag	None	None	Socal		Yes	
